--- Most to Least Appearances ---
Cobalion - 35 games total
Virizion - 35 games total
Kyurem - 35 games total
Fletchling - 35 games total
Beautifly - 34 games total
Dustox - 34 games total
Clamperl - 34 games total
Starly - 34 games total
Bidoof - 34 games total
Shieldon - 34 games total
Yanmega - 34 games total
Zorua - 34 games total
Cinccino - 34 games total
Joltik - 34 games total
Larvesta - 34 games total
Terrakion - 34 games total
Froakie - 34 games total
Silcoon - 33 games total
Castform - 33 games total
Floatzel - 33 games total
Shellos - 33 games total
Chingling - 33 games total
Mantyke - 33 games total
Gliscor - 33 games total
Arceus - 33 games total
Pignite - 33 games total
Timburr - 33 games total
Gurdurr - 33 games total
Cottonee - 33 games total
Lilligant - 33 games total
Cubchoo - 33 games total
Meloetta - 33 games total
Noibat - 33 games total
Mimikyu - 33 games total
Cascoon - 32 games total
Kricketune - 32 games total
Dewott - 32 games total
Gigalith - 32 games total
Petilil - 32 games total
Scrafty - 32 games total
Golurk - 32 games total
Deino - 32 games total
Keldeo - 32 games total
Chespin - 32 games total
Inkay - 32 games total
Noivern - 32 games total
Staravia - 31 games total
Finneon - 31 games total
Lumineon - 31 games total
Servine - 31 games total
Munna - 31 games total
Boldore - 31 games total
Swadloon - 31 games total
Gothia - 31 games total
Gothorita - 31 games total
Gothitelle - 31 games total
Vanillite - 31 games total
Vanilluxe - 31 games total
Beartic - 31 games total
Bisharp - 31 games total
Frogadier - 31 games total
Talonflame - 31 games total
Pancham - 31 games total
Goomy - 31 games total
Goodra - 31 games total
Yveltal - 31 games total
Kicketot - 30 games total
Ambipom - 30 games total
Skuntank - 30 games total
Mesprit - 30 games total
Roggenrola - 30 games total
Leavanny - 30 games total
Foongus - 30 games total
Stunfisk - 30 games total
Pawniard - 30 games total
Braixen - 30 games total
Delphox - 30 games total
Trevenant - 30 games total
Xerneas - 30 games total
Cherrim - 29 games total
Stunky - 29 games total
Lickilicky - 29 games total
Uxie - 29 games total
Azelf - 29 games total
Phione - 29 games total
Lillipup - 29 games total
Stoutland - 29 games total
Musharna - 29 games total
Sewaddle - 29 games total
Ducklett - 29 games total
Alomomola - 29 games total
Eelektross - 29 games total
Braviary - 29 games total
Zweilous - 29 games total
Hawlucha - 29 games total
